Name	MvalueInSignal	DvalueInSignal	ProbDiffExprn
PAQR7	8.35166478122144	30.4679354040952	0.926644214764061
TINAGL1	7.55479882309447	51.771846953552	0.943386366275694
CD53	8.42212464955211	102.333655074839	0.970851236790152
S100A12	9.63748721428471	152.902783073721	0.985367553129718
PMVK	-7.31046025640181	70.9114872081585	0.947896101885186
FCER1G	10.2586667278941	41.2565871221185	0.956799442573453
C1orf192	12.0440701066948	33.0418099149444	0.947005767816359
SFT2D2	6.69429315735649	34.6579799017654	0.908450431618472
SNORD74	9.53680086554352	72.3649055101453	0.973425463554368
RGS1	-10.0759502077948	22.8205792896667	0.916734409476251
CABC1	-7.53003420565284	25.1752607487583	0.904482638485658
DKK1	10.2695459021206	38.5450503983884	0.953412302094221
CUEDC2	-8.6427418928799	38.5731311352633	0.943831533310107
MGMT	5.9958038383198	116.01266868058	0.925405489103085
SNORA23	-10.2783264914553	22.6007431243432	0.916579568768629
MPEG1	7.94991490121634	42.2734619066259	0.940889559865289
SNORD30	7.21176109630308	48.6303634089367	0.935044323152557
AK092098	-7.39633765037105	25.6301972115511	0.90330197809004
TMPRSS5	11.1571675166671	24.7687684968477	0.926334533348817
ITGB7	8.43404672083905	25.5693042540142	0.915902140672783
LYZ	9.32658295617928	56.8913795359888	0.965025355165873
SNORA27	-8.54794805239841	69.7903823587552	0.964309216893121
C13orf15	8.81920583662367	32.6366700004759	0.935354004567801
RCBTB2	-8.20405270670448	33.3711396466293	0.930902334223667
ITGBL1	6.84513954073829	33.5028401189451	0.909747222544807
NOP10	-5.69411153921139	75.476448887548	0.908643982503
DQ586540	-5.11425831316905	1188.29502717181	0.90274068052491
PATL2	8.7804963027133	56.0401805900085	0.960322068671854
LOC100287559	7.65906018817252	32.9694443161296	0.923508690434715
KIAA1199	8.68932545215181	27.8294970973185	0.923953857469129
YPEL3	8.79530050770853	52.3586469212993	0.958444625091937
ZNF319	8.08765812055582	307.713005099094	0.97448999341927
C16orf70	6.9379669207993	29.4751505451308	0.903495528974567
ENO3	-8.40045066025014	32.7974398699629	0.931657182673325
DVL2	-8.84250224289965	25.9464511792153	0.920547361901444
LOC730755	-8.97734853525715	41.6290011121362	0.950567104091666
BC045769	-8.30192595575476	36.0023096345873	0.93639917934425
FCER2	6.71536713451856	53.6618250880424	0.928231332017187
TSPAN16	7.9487262877128	32.8748672329978	0.927108736886928
AX721123	7.2117137973932	37.5804526085337	0.923586110788526
IFI30	9.77812348687407	21.0913840037974	0.90941818604111
GMFG	7.42078459172924	84.3581583926331	0.953915534393992
ZNF419	-9.51983865666205	21.270641985625	0.908837533387528
LOC100506054	-5.958396088152	67.0702958792665	0.913637595323811
ARHGAP25	7.56356413986358	95.0210663115735	0.958270429295862
PCGF1	-7.79415658967286	48.2807623421647	0.944605736848217
ST3GAL5	7.16409677890068	70.3941241693893	0.945147679324895
AK128525	6.99562783889293	101.923394245536	0.949947741261178
Ig	kappa	7.00029007560086	286.69139089834	0.956838152750358
AFF3	6.64318514153886	42.802215200313	0.917973135137228
KYNU	6.52115923587126	90.6956022120772	0.935354004567801
CDCA7	6.29381512646633	50.5676395250727	0.915166647311578
ITM2C	5.82699414664071	57.1257040949108	0.906127821004142
SLC2A4RG	7.1555100040685	32.7066103343097	0.914740835365618
IFNAR2	8.63608630978311	51.0757172877575	0.95621878991987
