MvaluesInNoise	DvaluesInNoise
3.03562390973072	36
1.96642447274102	2149
1.22239242133645	4
0	0
-3.4964258261195	72
1	1
-2	6
-1.84369676912132	145
1	1
-2.01157932240495	4045
-1.50124067482365	1851
-1.96152585218536	55
1.21616780079582	3381
-1.22239242133645	1216
-4.35569883154261	740
4.98608678571473	20687
2.97400479146706	432
2	1.5
-2.41503749927884	26
-0.500594394509886	499
-4.22881869049588	71
-2.8073549220576	126
9.12412131182919	278.5
4.90689059560852	14.5
5.24792751344359	18.5
-0.996410708482276	1802
-1.90689059560852	44
0.985933392124228	1617
1	0.5
2	1.5
1.58496250072116	8
3.75002174699165	137
0	0
0	0
-0.277500424091312	228
5.94307293191516	1271
0.278716028066063	13
-1.64053583148311	737
-1.13750352374993	12
-3.72582503656101	318
-4.70043971814109	12.5
-3.45154083301783	994
-10.0195907283579	518.5
2.68630323555339	772
-2.08746284125034	39
0.584962500721156	143
-4.50727475008825	5305
0.594521329146001	179
1.03663719079242	511
1	0.5
2	1.5
-2.70626879694329	105
0.0832903433610358	46
-0.142241442756598	126
-5.39460559937403	616
-0.677324201006298	2891
0	0
-1.58496250072116	4
2	1.5
-3.10783564112785	10875
-5.877744249949	289
-3.16372805303058	10732
0	0
-3.5107062356186	5147
-3.30437742093506	2717
-2.93526924271576	2633
-2.16177086969387	959
-1.13354343207933	11800
2	1.5
-2	1.5
0	0
0.951090399519054	14
0.415037499278844	2
2	1.5
4.43276718889718	2863
0	0
3.92481250360578	227
1.58496250072116	2
-1.83362786570372	2990
-1.25729803628465	146
6.75488750216347	53.5
-0.124552452042363	133
-6.1168637576909	342
1	6
-1.72246602447109	23
0	0
0	0
2.85903907734654	294
-0.4420843750734	90
-2.30146399232765	279
0	0
0	0
1.08053133831201	301
1.32716474325351	83
-0.71337877384859	142
-2.41144224465123	2929
6.56224242422107	374
0.321928094887362	210
3.13906191861872	28739
1.73696559416621	7
-2	1.5
-0.281849410053417	704
0.356508326597507	208
6.19967234483636	2755
-3.28822455554242	9760
2.27301849440642	92
-3.55458885167764	43
2.75566168787611	397
1.76867445389354	130
2.90689059560852	13
0.396421821111497	37
-1.17397021350026	696
1.24792751344359	77
1.53051471669878	68
0.308222753429212	4736
-0.793661442594983	1087
-2.16168755851586	6577
-2	1.5
0.15200309344505	1
-3.70756095559742	4126
-0.906890595608518	7
1.26303440583379	14
0	0
0.958777337273487	67
0.585707886963978	969
1.41503749927884	10
-5	155
-2.06306226774969	747
6.4262647547021	1275
4.3037807481771	75
-2.74189788970844	1246
2.57416828674034	27145
1.396546573158	8766
0.415780964918017	4374
-1.52544471959104	8507
-1.60812022170841	211
1.48381851030637	15897
1.8051865103771	4034
-0.0318254458553979	594
1.20945336562895	21
0.52307411408811	16017
-2	1.5
-2.09625116096802	7443
2.10852445677817	53
-3.02775659512607	1059
0.540568381362703	10
-0.83541884047548	251
0.433756696625433	47
-0.23437271089727	275
4.86046625851717	561
2.34482849699744	408
2	1.5
-0.313636721255971	2712
-1.19037204290328	1018
-7.08657856599073	1619
3.83185699535023	15901
0.415037499278844	5
