Name	MvalueInSignal	DvalueInSignal	ProbDiffExprn
DDX11L1	0.705273106551879	0.0461020161830153	0.173847229776983
WASH7P	-0.209526206383556	0.744959972122674	0.0620576579376797
FAM138A	3.17014565492277	0.0704852629378328	0.342066982671536
OR4F5	0.955320404808576	0.0101821547053939	0.143304064029839
LOC729737	4.31705090484958	3.90522516317625	0.656193954464216
DQ597235	-0.387104733666108	0.481819071487013	0.120794156500117
DQ599768	2.24199801575291	4.80802153791679	0.531048255497708
LOC100132287	4.89388506353876	6.63160735517621	0.714705105291786
BC036251	-0.841836563169324	0.12312883228095	0.215278576423965
M37726	-0.638133108873381	246.542426526904	0.24595384256741
LOC100133331	0.0145518306326393	0.0785513937879276	0.00310047400730437
DQ575786	-0.897093781149999	3.78293690195813	0.305840391638822
DQ599872	-7.26436182656169	1160.40186758261	0.951921672235605
AK310751	-2.53217082324236	38.1759160211897	0.648588079881887
LOC100288069	1.60042273597587	2.91689866032682	0.430370658170798
LOC643837	1.96778499047903	7.15687123230985	0.517883285414562
FAM41C	1.36799026097146	0.958131801557418	0.353090372212293
AK056486	-2.22052050154502	0.0330954085683189	0.249195741704872
SAMD11	1.83683728376949	0.214256992385564	0.355987256197063
NOC2L	1.52980884335042	1.1493285250635	0.384707436475251
KLHL17	-3.58976287889656	0.753030485501207	0.52790271194343
PLEKHN1	6.64042127521311	2.00843645720641	0.643852669205066
C1orf170	2.04852072673527	0.015094003990928	0.217160618540679
HES4	5.96202380934202	0.852370005595341	0.571382391794234
ISG15	12.0526787983654	137.867544519931	0.987259305307328
AGRN	4.30085720678478	7.55120026944532	0.703338254720646
BC033949	4.96235027724348	2.05664065209313	0.625860595228845
C1orf159	2.41605774820318	1.21668591569416	0.488818089983682
LOC254099	1.20759219111826	0.0120028985353829	0.153150982982361
MIR200B	NA	NA	NA
AK128833	0.0694174970165386	0.000789514577254475	0.00804724531820654
TTLL10	1.23071869966865	0.057067376249556	0.233385655451084
TNFRSF18	0.347343135405067	0.00488874694442454	0.0490947237547595
TNFRSF4	1.24185583823937	0.00784974960329314	0.153763307172274
SDF4	5.61918061750434	2.59153910315279	0.654378739606807
B3GALT6	0.771740728142678	0.912117540192404	0.248319216722356
FAM132A	0.967098261988903	0.437974943810482	0.275196207941565
UBE2J2	-0.0140604897766822	0.0206425055257071	0.00262335845831067
SCNN1D	5.95175590344999	0.728393959032649	0.560077706115471
ACAP3	5.47881443028718	0.523338645307764	0.531511383945917
PUSL1	4.80921925942535	1.17783499925577	0.583551169477038
CPSF3L	3.52018833003372	7.92487274743375	0.667779936280985
GLTPD1	7.3728693382755	1.61449420971486	0.629195741704872
DVL1	0.149676912994984	0.198518812602553	0.0338814204677908
MXRA8	4.15789081605261	1.00956692782382	0.561293029761442
AURKAIP1	2.94242502043491	12.8452579684871	0.65261170254099
CCNL2	-0.840972645133016	2.4751422782609	0.278881031937213
